numero_base,classe,descricao
010260,1,"Preparações antiestáticas, exceto para uso doméstico"
010261,1,Sais para células galvânicas
010261,1,Sais para pilhas galvânicas
010262,1,Opacificadores para esmalte
010263,1,Opacificadores para vidros
010265,1,Substâncias químicas para tingir os esmaltes
010267,1,Emulsões fotográficas
010268,1,Emulsificadores
010269,1,Chapas fotográficas sensibilizadas
010270,1,Preparações para colar
010271,1,Fertilizantes
010272,1,Preparações de enzima para uso industrial
010273,1,Enzimas para uso industrial
010274,1,"Resinas epóxi, não processadas"
010275,1,Preparações para purificação do gás
010276,1,Érbio
010277,1,Espíritos de vinagre [ácido acético diluído]
010278,1,Papel químico para testes
010279,1,Ésteres *
010280,1,Etano
010281,1,Éteres *
010282,1,Éter etílico
010283,1,Éteres de glicol
010284,1,Éter metílico
010285,1,Éter sulfúrico
010286,1,Substâncias químicas para evitar manchas em tecidos
010287,1,Európio
010288,1,Composições extintoras de fogo
010289,1,Farinha para uso industrial
010290,1,Sais de ferro
010291,1,Fermentos para uso químico
010292,1,Chapas ferrotípicas [fotografia]
010293,1,Preparações fertilizantes
010294,1,Preparações ignífugas
010295,1,Composições para fiar
010296,1,Preparações para filtragem para a indústria de bebidas
010297,1,Material de fissão para energia nuclear
010298,1,Fixadores [fotografia]
010299,1,Flores de enxofre para uso químico
010301,1,Substâncias para endurecer calcário
010302,1,Flúor
010303,1,Compostos de espatoflúor
010304,1,Ácido fluorídrico
010305,1,Grafite para uso industrial
010306,1,Aglutinantes para fundição
010307,1,Preparações para moldagem de fundição
010308,1,Aditivos químicos para inseticidas
010309,1,Aditivos químicos para fungicidas
010310,1,Ácido fórmico
010311,1,Formaldeído para uso químico
010312,1,Preparações para pisoamento para uso na indústria têxtil
010313,1,Preparações para pisoamento
010314,1,Frâncio
010315,1,Fluidos para freios
010316,1,Negro de fumo para uso industrial [fuligem]
010317,1,Preparações químicas para defumar carne
010318,1,Gadolínio
010319,1,Nozes de galha [bugalhos]
010320,1,Ácido gálico para manufatura de tinta
010321,1,Gálio
010322,1,Papel fotográfico
010323,1,Ácido galotânico
010324,1,Preparações para galvanização
010325,1,Gambir
010326,1,Gases protetores para solda
010328,1,Gases solidificados para uso industrial
010329,1,Gelatina para uso fotográfico
010330,1,Gelatina para uso industrial
010331,1,Sal gema
010332,1,Getters [substâncias reativas]
010333,1,Gelo seco [dióxido de carbono]
010334,1,Visco
010335,1,Glicosídeos
010336,1,Glicerídeos
010337,1,Glicol
010339,1,Substâncias químicas para branquear gorduras
010340,1,Ácidos graxos
010341,1,Mástique para enxertar árvores
010342,1,Guano
010343,1,Bálsamo de gurjun para fabricação de verniz
010344,1,Hélio
010345,1,Hólmio
010346,1,"Hormônios para acelerar a maturação de frutos Substâncias químicas para horticultura, exceto fungicidas, herbicidas, inseticidas e 1 parasiticidas"
010348,1,Óleos para conservação de alimentos
010349,1,Óleos para preparar couro no processo de manufatura
010350,1,Óleos para curtimento do couro
010351,1,Dispersantes para petróleo
010352,1,Dispersantes para óleo
010353,1,Substâncias químicas para branquear óleo
010354,1,Substâncias químicas para purificação de óleo
010355,1,Húmus
010356,1,Hidratos
010357,1,Hidratos de carbono [carboidratos]
010358,1,Hidrazina
010359,1,Hidrogênio
010360,1,Hipoclorito de sódio
010361,1,Hipossulfitos
010362,1,Substâncias químicas para impermeabilização de têxteis
010363,1,Substâncias químicas para impregnação de têxteis
010364,1,Substâncias químicas para impermeabilização de couro
010365,1,Iodo para uso químico
010366,1,Sais de iodo
010367,1,Ácido iódico
010368,1,Iodo para uso industrial
010369,1,Isótopos para uso industrial
010370,1,Caulim
010370,1,Caulino
010371,1,Trípole
010372,1,Criptônio
010373,1,Ácido láctico
010374,1,Fermentos lácteos para uso químico
010375,1,Lantânio
010377,1,Preparações para prevenir embaciamento de lentes
010378,1,Litina [óxido de lítio]
010379,1,Lítio
010380,1,"Produtos para conservação de alvenaria, exceto tintas e óleos"
010381,1,"Produtos para conservação de tijolos, exceto tintas e óleos"
010382,1,Magnesita
010383,1,Cloreto de magnésio
010384,1,Manganato
010385,1,Casca de mangue para uso industrial
010386,1,Substâncias químicas para foscar vidros
010387,1,Mercúrio
010388,1,Sais de mercúrio
010389,1,Óxido de mercúrio
010390,1,Metalóides
010391,1,Sais de metais preciosos para uso industrial
010393,1,Preparações para recozer metal
010394,1,Metano
010395,1,Preparações químicas para prevenir míldio
010396,1,Ácidos minerais
010397,1,Sais para uso industrial
010398,1,Preparações umectantes para uso em tingimento [tinturaria]
010399,1,Naftalina
010400,1,Neodímio
010401,1,Néon
010402,1,Netúnio
010403,1,Neutralizadores de gases tóxicos
010404,1,Preparações químicas para prevenir mangra
010404,1,Preparações químicas para proteção contra mangra
010405,1,Nitrato de urânio
010406,1,Chapas sensibilizadas para impressão em ofsete
010407,1,Ácido oléico
010408,1,Olivina [silicato]
010409,1,Sais de ouro
010410,1,Sal de azedas
010411,1,Oxalatos
010412,1,Ácido oxálico
010413,1,Oxigênio para uso industrial
010414,1,Água oxigenada para uso industrial
010415,1,Cloreto de paládio
010416,1,Papel nitrado
010417,1,Papel fotométrico
010418,1,Papel sensível
010419,1,Papel de tornassol
010420,1,Pectina [fotografia]
010421,1,Perborato de sódio
010422,1,Percarbonatos
010423,1,Perclorato
010424,1,Persulfatos
010425,1,Ácido persulfúrico
010426,1,Fenol para uso industrial
010427,1,Fosfatos [fertilizantes]
010428,1,Escórias [fertilizantes]
010429,1,Fosfátidos
010430,1,Fósforo [composto químico]
010431,1,Superfosfatos [fertilizantes]
010432,1,Papel para cópia heliográfica
010433,1,Ácido fosfórico
010434,1,Tela para impressão heliográfica
010435,1,Reveladores fotográficos
010436,1,Sensibilizadores fotográficos
010437,1,Ácido pícrico
010438,1,Plásticos não processados
010439,1,Plastissóis
010440,1,Acetato de chumbo
010441,1,Óxido de chumbo
010442,1,Plutônio
010443,1,Polônio
010444,1,Fécula de batata para uso industrial
010445,1,Vasos feitos de turfa para horticultura
010446,1,Potassa
010447,1,Potássio
010448,1,Água potássica
010449,1,Praseodímio
010450,1,Promécio
010451,1,Protactínio
010452,1,Proteína [matéria-prima]
010453,1,Ácido pirogálico
010454,1,Quebracho para uso industrial
010455,1,"Resinas sintéticas, não processadas"
010456,1,Elementos radioativos para uso científico
010457,1,Radônio
010458,1,Rádio para uso científico
010459,1,Preparações frigoríficas
010460,1,Subprodutos do processamento de cereais para uso industrial
010461,1,"Resinas acrílicas, não processadas"
010463,1,Rênio
010464,1,"Filmes para raio x sensibilizados, mas não expostos"
010465,1,Composições para reparos de pneus
010466,1,Rubídio
010467,1,Areia de fundição
010468,1,Ácido salicílico
010469,1,Salitre
010471,1,Molho para preparar tabaco
010472,1,Sabão [metálico] para uso industrial
010473,1,Escândio
010474,1,Ácido sebácico
010475,1,Sais [preparações químicas]
010476,1,Sal bruto
010477,1,Sais crômicos
010478,1,Sais [fertilizantes]
010479,1,Selênio
010480,1,Substâncias para conservar sementes
010481,1,Silicatos
010483,1,Silício
010484,1,Silicones
010485,1,Sódio
010486,1,Sulfetos
010487,1,Substâncias químicas para solda
010488,1,Soda calcinada [carbonato de sódio]
010489,1,Cáusticos para uso industrial
010490,1,Soda cáustica para uso industrial
010491,1,Sais de sódio [compostos químicos]
010493,1,Enxofre
010494,1,Subnitrato de bismuto [nitrato básico de bismuto] para uso químico
010495,1,Baritina
010496,1,Espinelas [óxidos]
010497,1,Ácido esteárico
010498,1,Estrôncio
010499,1,Fuligem para uso industrial ou agrícola
010500,1,Líquidos para remover sulfatos de baterias
010500,1,Líquidos para remover sulfatos de acumuladores
010501,1,Ácidos sulfônicos
010502,1,Ácido sulfuroso
010503,1,Ácido sulfúrico
010504,1,"Sumagre para curtume Substâncias químicas para uso na silvicultura, exceto fungicidas, herbicidas, inseticidas 1 e parasiticidas"
010506,1,Talco [silicato de magnésio]
010507,1,Casca de árvore para curtume [matéria tanante]
010508,1,Tanino
010509,1,Substâncias para curtir
010510,1,Sais de cálcio
010511,1,Ácido tânico
010512,1,Farinha de tapioca para uso industrial
010514,1,"Tártaro, exceto para uso farmacêutico"
010515,1,Ácido tartárico
010516,1,Tecnécio
010517,1,Telúrio
010518,1,Agentes tensoativos
010518,1,Agentes químicos tensoativos
010519,1,Térbio
010521,1,Substâncias químicas para tingir vidro
010522,1,Preparações para evitar embaciamento de vidro
010523,1,Substâncias químicas antiembaciantes para janelas
010524,1,Terra para cultivo
010525,1,Terra de pisoeiro para uso na indústria têxtil
010526,1,Terras raras [lantanídeos]
010527,1,Marga
010528,1,Tetracloreto de carbono
010529,1,Tetracloretos
010530,1,Preparações umectantes para uso na indústria têxtil
010532,1,Tálio
010533,1,Tiocarbanilida
010534,1,Túlio
010535,1,Tório
010536,1,Dióxido de titânio para uso industrial
010537,1,Titanita
010538,1,Toluol
010538,1,Tolueno
010539,1,Turfa [fertilizante]
010540,1,"Conservantes para telhas, exceto tintas e óleos"
010541,1,Ácido túngstico
010542,1,Urânio
010543,1,Óxido de urânio
010544,1,Vidro solúvel [silicato]
010545,1,Produtos amaciadores de carne para uso industrial
010546,1,Preparações químicas para prevenir doenças da vinha
010547,1,Álcool vínico
010548,1,Sais de viragem [fotografia]
010549,1,Preparações para vulcanização
010550,1,Viterite
010551,1,Xenônio
010552,1,Itérbio
010553,1,Ítrio
010554,1,Cloretos
010555,1,Sulfatos
010556,1,Zircônia [dióxido de zircônio]
010557,1,Preparações para acelerar cozimento para uso industrial
010558,1,Amoníaco [álcali volátil] para uso industrial
010558,1,Álcali volátil [amoníaco] para uso industrial
010559,1,Iodetos alcalinos para uso industrial
010560,1,Metais alcalinos
010561,1,Sais de metais alcalinos
010562,1,Alcaloides *
010564,1,Alginatos para uso industrial
010565,1,Acetato de alumínio *
010566,1,"Pasta de amido [adesiva], exceto para papelaria ou uso doméstico"
010567,1,Sais de amônio
010568,1,Carbono animal
010569,1,Nitrato de prata
010570,1,Substâncias químicas para avivar cores para uso industrial
010571,1,Preparações antigerminantes para vegetais
010572,1,Nitratos
010573,1,Substâncias adesivas para ladrilhos
010574,1,Sulfato de bário
010575,1,Substâncias químicas para fabricação de tintas
010576,1,Benzol metílico
010577,1,Metilbenzeno
010578,1,Bicarbonato de sódio para uso químico
