descricao,classe
Comércio [através de qualquer meio] de engates de máquinas e componentes de transmissão [exceto para veículos terrestres] Comércio [através de qualquer meio] de equipamento de processamento de dados e computadores Comércio [através de qualquer meio] de escovas,35
Comércio [através de qualquer meio] de espelhos,35
Comércio [através de qualquer meio] de explosivos,35
Comércio [através de qualquer meio] de ferramentas manuais,35
Comércio [através de qualquer meio] de fios e fibras para uso têxtil,35
Comércio [através de qualquer meio] de fitas e laços,35
Comércio [através de qualquer meio] de flores artificiais,35
Comércio [através de qualquer meio] de fogos de artifício,35
Comércio [através de qualquer meio] de fósforos,35
Comércio [através de qualquer meio] de fotografias,35
Comércio [através de qualquer meio] de gelo,35
Comércio [através de qualquer meio] de goma,35
Comércio [através de qualquer meio] de graxas,35
Comércio [através de qualquer meio] de guarda-chuvas,35
Comércio [através de qualquer meio] de guarda-sóis,35
Comércio [através de qualquer meio] de guta-percha,35
Comércio [através de qualquer meio] de imitações de couro,35
Comércio [através de qualquer meio] de instrumentos agrícolas não manuais,35
Comércio [através de qualquer meio] de instrumentos manuais [propulsão muscular],35
Comércio [através de qualquer meio] de instrumentos musicais,35
Comércio [através de qualquer meio] de jogos e brinquedos,35
Comércio [através de qualquer meio] de junco semiprocessado,35
Comércio [através de qualquer meio] de linóleo [piso em manta],35
Comércio [através de qualquer meio] de livros,35
Comércio [através de qualquer meio] de loções para os cabelos,35
Comércio [através de qualquer meio] de lubrificantes,35
Comércio [através de qualquer meio] de madeira semiprocessada,35
Comércio [através de qualquer meio] de malas e bolsas de viagem,35
Comércio [através de qualquer meio] de máquinas de calcular,35
Comércio [através de qualquer meio] de máquinas de escrever,35
Comércio [através de qualquer meio] de máquinas distribuidoras automáticas,35
Comércio [através de qualquer meio] de máquinas-ferramentas,35
Comércio [através de qualquer meio] de materiais de construção metálicos,35
Comércio [através de qualquer meio] de materiais de construção não metálicos,35
Comércio [através de qualquer meio] de materiais impressos,35
Comércio [através de qualquer meio] de materiais metálicos para vias férreas,35
Comércio [através de qualquer meio] de materiais para artistas,35
Comércio [através de qualquer meio] de material de instrução e de ensino,35
Comércio [através de qualquer meio] de material de limpeza,35
Comércio [através de qualquer meio] de material de sutura,35
Comércio [através de qualquer meio] de material para a fabricação de escovas,35
Comércio [através de qualquer meio] de material para curativos,35
Comércio [através de qualquer meio] de material para obturações dentárias,35
Comércio [através de qualquer meio] de matérias de enchimento,35
"Comércio [através de qualquer meio] de matérias para calafetar, vedar e isolar",35
Comércio [através de qualquer meio] de matérias plásticas não processadas,35
Comércio [através de qualquer meio] de matérias plásticas para embalagem,35
Comércio [através de qualquer meio] de matérias têxteis fibrosas em bruto,35
Comércio [através de qualquer meio] de matérias tintoriais,35
Comércio [através de qualquer meio] de mecanismos para aparelhos operados com moedas,35
"Comércio [através de qualquer meio] de membros, olhos ou dentes artificiais",35
Comércio [através de qualquer meio] de metais comuns e suas ligas,35
