numero_base,classe,descricao,referencias_correlacionadas
010130,1,Madeira para curtimento [madeira tanante],020026;020027;020028;020111;020111;020112;030030;040018;040119;040120;080155;190015;190026;190027;190028;190029;190031;190032;190033;190034;190035;190127;190149;200017;200026;200027;200087;200148;200238;220005;220006;250110;310017;310018;400009;400054;400067
010131,1,Álcool metílico [metanol],040002;040003;110247;290133;320065
010132,1,Polpa de madeira,020111;160278;160279;190028;190029;190031;190032;190034;190127;200087;220006
010133,1,Vinagre de madeira [ácido pirolenhoso],020111;190027;190028;190029;190031;190032;190034;190127;200087;220006;290254;300081;300148;020111;190027;190028;190029;190031;190032;190034;190127;200087;220006;290254;300081;300148
010133,1,Ácido pirolenhoso [vinagre de madeira],020111;190027;190028;190029;190031;190032;190034;190127;200087;220006;290254;300081;300148;020111;190027;190028;190029;190031;190032;190034;190127;200087;220006;290254;300081;300148
010135,1,Ácido bórico para uso industrial,040047;040057;040065;040067;040075;040087;040089;050338;070004;070103;070143;070282;070316;070327;070347;070419;070509;070600;090178;090418;090526;110292;290254
010136,1,Lamas de perfuração,070462;120049;120087;370114;370133;420281
010137,1,Preparações para brasagem,030096;030237;050025;050029;050032;050090;050103;050116;050120;050135;050195;050229;050229;050390;050517;060053;060302;060303;400011
010138,1,Substâncias químicas para evitar condensação,050277;070116;440115
010141,1,Cianamida de cálcio [fertilizante],030022
010141,1,Cianamida cálcica [fertilizante],030022
010145,1,Preservativos de borracha,050066;170004;170014;170017;170018;170019;170020;170021;170031;170064;170068;170076;170082;170093;170095;170101;170109;170113;170114;170123;170129;170132;180045;190260;200296;200297;200334;230018;270025
010147,1,Carbonato de magnésio,030022;060169;110190
010148,1,Carbono,160066;170096;220087;360104;390134;390135;400142;440206
010149,1,Dissulfeto de carbono,160066;170096;220087;360104;390134;390135;400142;440206
010150,1,Ácido carbônico,050338;290254
010152,1,Carboneto de cálcio [carbeto de cálcio],030022;030036
010155,1,Celulose,050318;050320;160288;170001;170053;170053
010156,1,Pasta de papel,020014;030281;050237;050286;050491;160006;160062;160130;160140;160156;160182;160190;160191;160197;160210;160233;160339;160372;160376;160395;190062;190201;250122;250128;290185;290186;290229;300004;300291;300312;300323;400061
010157,1,Viscose [solução celulósica],030089;050054;050054;160310;170083
010158,1,Cimento [metalurgia],040122;050083;050385;060168;070616;190004;190036;190057;190058;190092;190093;190118
010160,1,Esmalte para cerâmica,020037;030032;030240;080266;190048;210129;210193;400015
010162,1,Sais de metais de terras raras,020093;020094;060185;060220;060434
010165,1,Preparações de carvão animal,030096;030237;040014;040016;040023;040054;040072;040117;050025;050029;050032;050090;050103;050116;050120;050135;050195;050229;050229;050375;050390;050517;070093;070094;110072;160160;180050;290081;310077;310124
010166,1,Carvão para filtros,020039;040014;040016;040023;040054;040072;040117;050056;070010;070093;070094;070109;090264;090574;110011;110072;160160;160324;210288;340006
010167,1,Carvão de ossos,040014;040016;040023;040054;040067;040072;040117;070093;070094;100237;110072;160160;260012;290092
010168,1,Carvão de sangue,040014;040016;040023;040054;040072;040117;050265;070093;070094;110072;160160;440133
010169,1,Preparações para economizar carvão,020039;030096;030237;040014;040016;040023;040054;040072;040117;050005;050025;050029;050032;050056;050090;050103;050116;050120;050135;050195;050229;050229;050390;050517;070093;070094;110072;160160
010170,1,Mástique para calçados,020091;030228;040026;100040;100051;140119;240020;240021;250001;250003;250016;250110;250116;250118;250129;400016
010171,1,Acetato de cálcio,030022;050299;170001
010172,1,Carbonato de cálcio,030022
010173,1,Cloreto de cálcio,030022
010174,1,Substâncias químicas para limpeza de chaminés,030038;050277;060413;110093;120073;120229;190055;190217;370026;440115
010175,1,Substâncias químicas para renovar couro,030025;050277;070157;180038;180145;440115
010176,1,"Substâncias químicas industriais Chemical preparations for scientific purposes, other than for medical or veterinary",030074;090840
010178,1,"Reagentes químicos, exceto para uso médico ou veterinário",050036;050036;050096;050108;050364;050393;050437;070624;090323;090425;090429;090625;090873;090960;100306;100347
010179,1,Materiais moderadores para reatores nucleares,050389;090957;110192;110253
010180,1,"Elementos químicos de fissão Substâncias químicas para análises em laboratório, exceto para uso médico ou 1 veterinário Preparações químicas para análises em laboratórios, exceto para uso médico ou 1 veterinário",050036;050036;050096;050108;050363;050437;090323;090425;090429;090625;090873;100347;420007
010185,1,Ácido hidroclorídrico,050338;290254
010186,1,Ácido cólico,050338;290254
010188,1,Alúmen de cromo,030168;060079;060081;090183
010189,1,Óxido de cromo,020044;020081;020089;060079;060081;090183
010190,1,Sais de cromo,030026;050137;050224;060079;060081;090183
010191,1,Ácido crômico,050338;290254
010192,1,Mástique para couro,020033;020057;020057;020091;030025;030074;040034;070157;180031;180036;180038;180042;180046;180087;180089;180091;180130;180141;180145;210100;240138;250151;400019
010193,1,Mástique para pneus,020091;120013;120032;120084;120093;120155;120156;120157;120206;120234;120292;120321;170109;370077;370113;370138
010194,1,Cimento para consertar objetos quebrados,050385;190004;190036;190057;190058;190092;190118;260081;360066;410250;450200
010195,1,"Preparações para impermeabilização de cimento, exceto tintas",020001;020019;020041;020053;020055;020068;020124;020135;030096;030237;050025;050029;050032;050090;050103;050116;050120;050135;050195;050229;050229;050385;050390;050517;160104;160142;190004;190036;190057;190058;190092;190118;370042;400036
010196,1,"Produtos para conservação de cimento, exceto tintas e óleos",040102;190036;190118
010197,1,Fluidos para circuitos hidráulicos,040101;120079;030126;120079;170136
010197,1,Líquidos para circuitos hidráulicos,040101;120079;030126;120079;170136
010198,1,Cera para enxertar árvores,030049;030052;040021;040030;060028;080099;080100;200371;310008;310010;440166;440206;440243;440244
010199,1,Ácido cítrico para uso industrial,040047;040057;040065;040067;040075;040087;040089;050338;070004;070103;070143;070282;070316;070327;070347;070419;070509;070600;090178;090418;090526;110292;290254
010200,1,Preparações para colagem de mostos,020010;020049;020094;020107;030003;030045;030077;030096;030104;030137;030148;030170;030171;030215;030225;030228;030232;030237;030259;030268;040009;050005;050007;050025;050026;050029;050032;050041;050045;050046;050063;050069;050077;050090;050103;050116;050120;050133;050135;050166;050195;050218;050229;050229;050272;050275;050287;050370;050371;050390;050401;050411;050446;050448;050455;050459;050475;050506;050517;050530;290015;300011;300034
010202,1,Cola para acabamento,020134;050217;070193;070476;110100;110413;210084;310074
010203,1,Substâncias adesivas para papel de parede,030001;030138;030178;030199;160265;160311;270007;370064
010205,1,Agentes de colagem para vinho,050373;200017;210178;210178;210374;210390;210413;210413;300050;300074;320059;330013;330021;330038;330040;330043
010207,1,Sais para colorir metal,030026;050137;050224;060039;060082;060087;060095;060103;060148;060165;060167;060183;060209;060215;060218;060233;060239;060246;060258;060289;060296;060323;060327;060372;060425;060430;060457;140075;160393;160394;400043
010208,1,Banhos [molhos] para amaciar peles,030002;050045;150059;180032;180067;300122;300193;300206;030002;150059;180032;180067;300206
010208,1,"Banhos [molhos] para amaciar peles, exceto óleos",030002;050045;150059;180032;180067;300122;300193;300206;030002;150059;180032;180067;300206
010209,1,Produtos para conservação de flores,050193;170112;210206;260059;310091;350023;440143
010211,1,Preparações químicas para uso em fotografia,050166;050222;050246;050323;050362;050363;090174;090181;090212;090639;410101
010212,1,Tela sensível para fotografia,030160;090021;090117;090122;090174;090181;090184;090206;090211;090212;090233;090264;090318;090390;090562;090574;090639;160063;160238;220001;240016;270015;280215;410101
010213,1,Chapas fotossensíveis,060010;060020;060047;060052;060376;070216;090309;110201;160170;200204;210107;210309
010214,1,Preparações corrosivas,020010;020049;020094;020107;030003;030045;030077;030096;030104;030137;030148;030170;030171;030215;030225;030228;030232;030237;030259;030268;040009;050005;050007;050025;050026;050029;050032;050041;050045;050046;050063;050069;050077;050090;050103;050116;050120;050133;050135;050166;050195;050218;050229;050229;050272;050275;050287;050370;050371;050390;050401;050411;050446;050448;050455;050459;050475;050506;050517;050530;290015;300011;300034
010215,1,Preparações para acabamento do couro,020134;070157;070193;180038;180145
010216,1,Preparações para acabamento de peles,070193;150059;180032;180067;250049
010219,1,Creme de tártaro para uso químico,030039;050281;050325;300215;300282
010221,1,Preparações criogênicas,020010;020049;020094;020107;030003;030045;030077;030096;030104;030137;030148;030170;030171;030215;030225;030228;030232;030237;030259;030268;040009;050005;050007;050025;050026;050029;050032;050041;050045;050046;050063;050069;050077;050090;050103;050116;050120;050133;050135;050166;050195;050218;050229;050229;050272;050275;050287;050370;050371;050390;050401;050411;050446;050448;050455;050459;050475;050506;050517;050530;290015;300011;300034
010222,1,Colas para couro,020033;020057;030025;030074;050442;070157;160290;160290;180031;180036;180038;180046;180087;180089;180091;180130;180141;180145;210100;240138;250151
010223,1,Substâncias químicas para revestimento do couro,020020;050277;180038;180145;400007;400013;440115
010224,1,Substâncias químicas para impregnação de couro,030025;050277;070157;180038;180145;440115
010225,1,Vitríolo azul,060109;060110;060353;090558;140049
010225,1,Sulfato de cobre [vitríolo azul],060109;060110;060353;090558;140049
010227,1,Soluções para cianotipia,030076;050094;170114;340040
010231,1,Preparações desengordurantes para uso em processo de manufatura,030096;030237;050025;050029;050032;050046;050090;050103;050116;050120;050135;050195;050229;050229;050370;050390;050506;050517
010232,1,Preparações para descolar e separar,020010;020049;020094;020107;030003;030045;030077;030096;030104;030137;030148;030170;030171;030215;030225;030228;030232;030237;030259;030268;040009;050005;050007;050025;050026;050029;050032;050041;050045;050046;050063;050069;050077;050090;050103;050116;050120;050133;050135;050166;050195;050218;050229;050229;050272;050275;050287;050370;050371;050390;050401;050411;050446;050448;050455;050459;050475;050506;050517;050530;290015;300011;300034;030096;030237;050025;050029;050032;050090;050103;050116;050120;050135;050195;050229;050229;050390;050517
010232,1,Preparações para descolagem,020010;020049;020094;020107;030003;030045;030077;030096;030104;030137;030148;030170;030171;030215;030225;030228;030232;030237;030259;030268;040009;050005;050007;050025;050026;050029;050032;050041;050045;050046;050063;050069;050077;050090;050103;050116;050120;050133;050135;050166;050195;050218;050229;050229;050272;050275;050287;050370;050371;050390;050401;050411;050446;050448;050455;050459;050475;050506;050517;050530;290015;300011;300034;030096;030237;050025;050029;050032;050090;050103;050116;050120;050135;050195;050229;050229;050390;050517
010233,1,Substâncias químicas para separação de óleo,040048;040053;040056;040087;050277;110277;170130;440115
010234,1,Solventes de goma,030009;030010;050134;070595;170117;020010;020049;020094;020107;030003;030045;030077;030096;030104;030137;030148;030170;030171;030215;030225;030228;030232;030237;030259;030268;040009;050005;050007;050025;050026;050029;050032;050041;050045;050046;050063;050069;050077;050090;050103;050116;050120;050133;050135;050166;050195;050218;050229;050229;050272;050275;050287;050370;050371;050390;050401;050411;050446;050448;050455;050459;050475;050506;050517;050530;290015;300011;300034
010234,1,Preparações para desengomar,030009;030010;050134;070595;170117;020010;020049;020094;020107;030003;030045;030077;030096;030104;030137;030148;030170;030171;030215;030225;030228;030232;030237;030259;030268;040009;050005;050007;050025;050026;050029;050032;050041;050045;050046;050063;050069;050077;050090;050103;050116;050120;050133;050135;050166;050195;050218;050229;050229;050272;050275;050287;050370;050371;050390;050401;050411;050446;050448;050455;050459;050475;050506;050517;050530;290015;300011;300034
010237,1,Preparações para desmoldagem,020010;020049;020094;020107;030003;030045;030077;030096;030104;030137;030148;030170;030171;030215;030225;030228;030232;030237;030259;030268;040009;050005;050007;050025;050026;050029;050032;050041;050045;050046;050063;050069;050077;050090;050103;050116;050120;050133;050135;050166;050195;050218;050229;050229;050272;050275;050287;050370;050371;050390;050401;050411;050446;050448;050455;050459;050475;050506;050517;050530;290015;300011;300034
010238,1,Substâncias para despolir,030199;050028;050096;050212;050258;050277;050350;170026;170058;170097;250183
010239,1,Preparações desidratantes para uso industrial,030096;030237;040030;040047;040057;040065;040067;040075;040087;040089;050025;050029;050032;050046;050090;050103;050116;050120;050135;050195;050229;050229;050370;050390;050506;050517;070004;070103;070143;070282;070316;070327;070347;070419;070509;070600;090178;090276;090418;090526;110292
010240,1,Desincrustantes,030081
010241,1,Detergentes para uso em processos de manufatura,030077;050108
010242,1,Dextrina [acabamento],020134;070193
010243,1,"Preparações para diagnóstico, exceto para uso médico ou veterinário",050036;050036;050096;050108;050330;050437;050443;050520;090323;090425;090429;090625;090633;090873;100201;100306;100347
010244,1,Diástase para uso industrial,040030;040047;040057;040065;040067;040075;040087;040089;070004;070103;070143;070282;070316;070327;070347;070419;070509;070600;090178;090276;090418;090526;110292;420049;420165
